OBJECT_NAME,OBJECT_TYPE,LAST_DDL_TIME,DATASOURCE
GET_VERBOSE_NAME,FUNCTION,2021-01-30 08:24:39,ORATECHCANNON
SFM_HTMLCSS,FUNCTION,2020-12-17 11:01:06,ORATECHCANNON
SFN_ADDDATETIMETOFILENAME,FUNCTION,2020-12-17 11:01:16,ORATECHCANNON
SFN_ARGS,FUNCTION,2020-12-17 11:01:16,ORATECHCANNON
SFN_AUTOSEQ,FUNCTION,2020-12-17 11:01:12,ORATECHCANNON
SFN_BESTWORST,FUNCTION,2020-12-17 11:01:18,ORATECHCANNON
SFN_CHANGECASE,FUNCTION,2020-12-17 11:01:17,ORATECHCANNON
SFN_COLUMNVAL,FUNCTION,2020-12-17 11:01:16,ORATECHCANNON
SFN_CONCATIFNOTNULL,FUNCTION,2020-12-17 11:01:17,ORATECHCANNON
SFN_DECODEDELIMITER,FUNCTION,2020-12-17 11:01:06,ORATECHCANNON
SFN_DECRYPT,FUNCTION,2020-12-17 11:01:23,ORATECHCANNON
SFN_DIVIDE,FUNCTION,2020-12-17 11:01:10,ORATECHCANNON
SFN_DOUBLEQUOTE,FUNCTION,2020-12-17 11:01:04,ORATECHCANNON
SFN_ENCLOSE,FUNCTION,2020-12-17 11:01:10,ORATECHCANNON
SFN_ENCRYPT,FUNCTION,2020-12-17 11:01:23,ORATECHCANNON
SFN_FORMATDATE,FUNCTION,2020-12-17 11:01:05,ORATECHCANNON
SFN_FORMATPRICE,FUNCTION,2020-12-17 11:01:13,ORATECHCANNON
SFN_GETCATSUBCAT,FUNCTION,2020-12-17 11:01:05,ORATECHCANNON
SFN_ID,FUNCTION,2020-12-17 11:01:15,ORATECHCANNON
SFN_ITEMBARCODES,FUNCTION,2020-12-17 11:01:23,ORATECHCANNON
SFN_MAJENTOCAT,FUNCTION,2020-12-17 11:01:10,ORATECHCANNON
SFN_PAD,FUNCTION,2020-12-17 11:01:11,ORATECHCANNON
SFN_REMOVESPECIALCHARS,FUNCTION,2020-12-17 11:01:15,ORATECHCANNON
SFN_REMOVESPECIALCHARS1,FUNCTION,2020-12-17 11:01:05,ORATECHCANNON
SFN_REPEATCHAR,FUNCTION,2020-12-17 11:01:12,ORATECHCANNON
SFN_RETINITIALS,FUNCTION,2020-12-17 11:01:11,ORATECHCANNON
SFN_SP,FUNCTION,2020-12-17 11:01:28,ORATECHCANNON
SFN_VALIDATEFILENAME,FUNCTION,2020-12-17 11:01:08,ORATECHCANNON
SFN_XML,FUNCTION,2020-12-17 11:01:11,ORATECHCANNON
SF_GETPARAMVALUE,FUNCTION,2020-12-17 11:01:17,ORATECHCANNON
ACPL_AR_PRICELIST_UK_UK,INDEX,2020-11-18 15:49:03,ORATECHCANNON
ACPL_PK,INDEX,2020-11-18 15:49:03,ORATECHCANNON
ACPM_PK,INDEX,2020-11-18 15:49:05,ORATECHCANNON
ACSC_PK,INDEX,2020-11-18 15:49:05,ORATECHCANNON
ADH_DBNOTE_UK1_UK,INDEX,2020-11-18 15:48:57,ORATECHCANNON
ADH_PK,INDEX,2020-11-18 15:48:57,ORATECHCANNON
