,GL_ACCOUNT_ID,CLT_LOOKUP_TYPE,UPDATE_SOURCE,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,CREATED_BY,DELETE_FLAG,BU_ID,END_DATE,START_DATE,DESCRIPTION,LOOKUP_MEANING,LOOKUP_CODE,ATTRIBUTE12,ATTRIBUTE11,ATTRIBUTE10,ATTRIBUTE9,ATTRIBUTE8,ATTRIBUTE7,ATTRIBUTE6,ATTRIBUTE5,ATTRIBUTE4,ATTRIBUTE3,ATTRIBUTE2,ATTRIBUTE1,LOOKUP_DEFAULT,SL_NO,SECURITY_LEVEL
0,nan,PRICE_BREAK_TEXT_TYPES,API,U,2.0,2011-01-21 09:52:21,2011-01-19 17:13:49,nan,None,1,NaT,NaT, $PRICEEXLTAX$ MIN $QTYFROM$,TEXTA4,TEXTA4,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
1,nan,PRICE_BREAK_TEXT_TYPES,API,I,nan,2011-01-19 17:13:49,2011-01-19 17:13:49,nan,None,None,NaT,NaT,"$PRICEEXLTAX$
MIN $QTYFROM$
",TEXTNORMAL,TEXTNORMAL,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
2,nan,SALES_ORDER_CATEGORY_CODE,API,I,nan,2011-01-20 21:04:58,2011-01-20 21:04:58,nan,None,None,NaT,NaT,None,MANUALLY ENTERED,MANUALLY ENTERED,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
3,nan,SALES_ORDER_CATEGORY_CODE,API,I,nan,2011-01-20 21:04:58,2011-01-20 21:04:58,nan,None,None,NaT,NaT,None,STANDARD,STANDARD,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
4,2.0,SALES_ORDER_SOURCE,None,U,2.0,2011-01-24 09:27:26,2011-01-20 21:09:11,2.0,None,1,NaT,NaT,BCP MIGRATED INVOICE,BCP,BCP,None,None,None,None,None,None,None,None,None,None,None,BCP.,N,nan,USER
5,nan,WEB_EXPORT_HINT_CODES,API,I,nan,2011-02-10 21:11:46,2011-02-10 21:11:46,nan,None,None,NaT,NaT,None,NONE,NONE,None,None,None,None,None,None,None,None,None,None,None,None,Y,nan,SYSTEM
6,nan,WEB_EXPORT_HINT_CODES,API,I,nan,2011-02-10 21:11:46,2011-02-10 21:11:46,nan,None,None,NaT,NaT,None,SPECIAL OFFER,SPECIAL OFFER,None,None,None,None,None,None,None,None,None,None,None,None,Y,nan,SYSTEM
7,nan,WWW_UPLOAD_PREFERENCE,API,I,nan,2011-02-10 21:11:46,2011-02-10 21:11:46,nan,None,None,NaT,NaT,None,1:HOME PAGE,1:HOME PAGE,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
8,nan,WWW_UPLOAD_PREFERENCE,API,I,nan,2011-02-10 21:11:46,2011-02-10 21:11:46,nan,None,None,NaT,NaT,None,2:SLIDE SHOW,2:SLIDE SHOW,None,None,None,None,None,None,None,None,None,None,None,None,N,nan,SYSTEM
9,nan,WWW_UPLOAD_PREFERENCE,API,I,nan,2011-02-10 21:11:46,2011-02-10 21:11:46,nan,None,None,NaT,NaT,None,99:GENERAL,99:GENERAL,None,None,None,None,None,None,None,None,None,None,None,None,Y,nan,SYSTEM
