,SECURITY_LEVEL,UPDATE_SOURCE,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,CREATED_BY,DELETE_FLAG,BU_ID,LOOKUP_MODULE,LOOKUP_DESC,LOOKUP_TYPE
0,SYSTEM,None,I,29.0,2020-07-27 10:17:23,2020-07-27 10:17:23,29.0,None,1,ALL,MAPPES COUNTRY TABLE WITH USER COUNTRY CODE FOR REPORTING,COUNTRY_MAPPING_CODE
1,SYSTEM,API,I,nan,2012-01-29 16:13:18,2012-01-29 16:13:18,nan,None,None,ALL,USED IN SCHEDULE A JOB,SCHEDULE_INTERVALS
2,SYSTEM,API,I,nan,2012-01-29 16:13:18,2012-01-29 16:13:18,nan,None,None,ALL,USED FOR ITEM CONDITION,ITEM_CONDITION
3,SYSTEM,API,I,nan,2012-01-29 16:13:18,2012-01-29 16:13:18,nan,None,None,ALL,PARTY TYPE CODE,PARTY_TYPE_CODE
4,SYSTEM,API,I,nan,2012-01-29 16:13:18,2012-01-29 16:13:18,nan,None,None,ALL,PARTY GROUP CODE,PARTY_GROUP_CODE
5,SYSTEM,API,I,nan,2013-08-03 09:35:18,2013-08-03 09:35:18,nan,None,None,ALL,WWW BARCODE TYPE,WWW_BARCODE_TYPE
6,SYSTEM,API,I,nan,2013-08-03 09:35:18,2013-08-03 09:35:18,nan,None,None,ALL,WWW PARENTAGE,WWW_PARENTAGE
7,SYSTEM,API,I,nan,2013-08-03 09:35:18,2013-08-03 09:35:18,nan,None,None,ALL,WWW DESIGN PATTERN,WWW_DESIGN_PATTERN
8,SYSTEM,API,I,nan,2013-08-03 09:35:18,2013-08-03 09:35:18,nan,None,None,ALL,WWW VARIATION THEME,WWW_VARIATION_THEME
9,SYSTEM,API,I,nan,2013-08-03 09:35:18,2013-08-03 09:35:18,nan,None,None,ALL,WWW RELATIONSHIP TYPE,WWW_RELATIONSHIP_TYPE
10,SYSTEM,API,I,nan,2010-10-07 14:04:09,2010-10-07 14:04:09,nan,None,None,ALL,None,WWW_SUBSCRIPTION_PREFERENCE
11,USER,API,I,nan,2010-10-07 14:04:09,2010-10-07 14:04:09,nan,None,None,ALL,USED IN CUSTOMER SCREEN,WWW_CUSTOMER_CATEGORY
12,SYSTEM,API,I,nan,2010-11-25 22:11:26,2010-11-25 22:11:26,nan,None,None,ALL,USED FOR SETTING ITEM QUICK CODES OR MENUS,QUICKCODE_CATEGORIES
13,SYSTEM,API,I,nan,2010-11-25 22:11:26,2010-11-25 22:11:26,nan,None,None,ALL,USED FOR CREATING AUTO DEBIT NOTE,AUTODBN_CREATE_FOR
