,TABLE_VIEW_NAME,DESCRIPTION,IDENTIFIER,ACTIVE,UPDATE_SOURCE,DELETE_FLAG,BU_ID,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,MERGE_TYPE,MERGE_HEADER_ID,MERGE_OWNER,BARCODE_TEXT,ATTRIBUTE6,ATTRIBUTE5,ATTRIBUTE4,ATTRIBUTE3,ATTRIBUTE2,ATTRIBUTE1,SL_NO,SALES_UNIT,REPORT_ID,PRINTER_ID,PRINT_HEADER_IMAGE,LINE_SL_NO,LINE_TEXT,LINE_IDENTIFIER,LINE_TYPE,MERGE_LINE_ID,VARIABLE,LINE_ATTRIBUE1,LINE_ATTRIBUE2,LINE_ATTRIBUE3,LINE_ATTRIBUE4,LINE_ATTRIBUE5,LINE_ATTRIBUE6
0,INV_ITEM_MASTERS,BARCODE LABEL1,BARCODE_LABEL1,Y,API,None,1,None,2010-08-24 10:38:03,5.0,2011-01-05 11:40:30,HTML,1,SYSTEM,PRIMARY,None,None,None,None,None,None,None,nan,nan,nan,N,1,"<FONT SIZE=4 FACE=""COURIER"">$ITEMNAME$ </FONT>
<FONT SIZE=1.5 FACE=""COURIER"">Quantity  Price</FONT>
  $SUMIN$£$PRICEINCMIN/1$
 $BARCODEMIN$             $BINMIN$",BARCODE LABEL1,HTML,1,Y,None,None,None,None,None,None
1,INV_ITEM_MASTERS,BARCODE LABEL1,BARCODE_LABEL1,Y,API,None,1,None,2010-08-24 10:38:03,5.0,2011-01-05 11:40:30,HTML,1,SYSTEM,PRIMARY,None,None,None,None,None,None,None,nan,nan,nan,N,2,"             QTY         Price
              $SUMIN$£$PRICEINCMIN/1$",BARCODE LABEL1,HTML,4,Y,None,None,None,None,None,None
2,INV_ITEM_MASTERS,BARCODE LABEL2,BARCODE_LABEL2,Y,API,None,1,None,2010-09-08 18:19:53,72.0,2020-05-05 08:58:30,HTML,3,SYSTEM,PRIMARY,None,None,None,None,None,None,None,nan,106.0,7.0,N,1,"            $SHORTDESC$
             QTY         Price
              $SUMIN$£$PRICEINCMIN/1$",BARCODE LABEL2,HTML,3,Y,None,None,None,None,None,None
3,INV_ITEM_MASTERS,BARCODE LABEL3,BARCODE_LABEL3,Y,API,None,1,None,2010-10-07 14:04:14,nan,2010-10-07 14:04:14,HTML,4,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,1,"$ITEMNUMBER$
$ITEMNAME30$
$PRICEEXLMIN/1$ $PRICEINCMIN/1$(inc)
$PRICEEXLMIN/2$ $PRICEINCMIN/2$(inc) Buy 20 or more
$PRICEEXLMIN/3$ $PRICEINCMIN/3$(inc) Buy 100 or more
Inner:$INNERQTY$ Case:$CASEUNIT$ Pallet:$PALLETQTY$",BARCODE LABEL3,HTML,5,Y,None,None,None,None,None,None
4,CMN_COMMUNICATIONS,COMMUNICATION - CUSTOMER,COMMUNICATION_-_CUSTOMER,Y,API,None,1,None,2012-02-19 17:19:21,nan,2012-02-19 17:19:21,HTML,21,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,1,"Dear $CUSTOMERNAME$

Subject : $SUBJECT$

$COMMUNICATIONBODY$

Ref :$COMMUNICATIONID$/$COMMUNICATIONTYPECODE$/$COMMUNICATIONCATEGORYCODE$/$LASTUPDATEDATE$
Thanks
",COMMUNICATION - CUSTOMER,HTML,27,Y,None,None,None,None,None,None
5,AR_CUSTOMERS,CUSTOMER BOX LABEL,CUSTOMER_BOX_LABEL,Y,API,None,1,None,2011-04-24 21:32:39,nan,2011-04-24 21:32:39,HTML,17,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,1,"GOODS FOR :                             Customer Ref:$CUSTOMERNUMBER$
<FONT SIZE=6 FACE=""COURIER"">
$CUSTOMERNAME$
$BILLTOADDRESSLINE1$
$BILLTOCITY$
$BILLTOCOUNTY$
$BILLTOPOSTCODE$</FONT>
_________________________________________
<FONT SIZE=7 FACE=""COURIER"">Carton No. : $NOOFBOXES$</FONT>
_________________________________________

<FONT SIZE=8 FACE=""COURIER""> Notes:$FREETEXT$</FONT>


<FONT SIZE=5 FACE=""COURIER"">Dispatched By:
$COMPANYNAME$
$LOCADDRESS$
$LOCCITY$
$LOCCOUNTY$
$LOCPOSTCODE$
Tel:$LOCPHONE1$
Fax:$LOCFAX1$
e-mail:$LOCEMAIL$
Date:$SYSDATE$
</FONT>
",CUSTOMER BOX LABEL,HTML,23,Y,None,None,None,None,None,None
6,AR_CUSTOMERS,CUSTOMER COVER LETTER,CUSTOMER_COVER_LETTER,Y,API,None,1,None,2010-10-07 14:04:14,nan,2010-10-07 14:04:14,HTML,6,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,1,"<FONT SIZE=6 FACE=""COURIER"">$LOCNAME$</FONT> <font size=2 >
$LOCNAME$Tel:$LOCPHONE1$
$LOCADDRESS$Fax:$LOCFAX1$
$LOCCITY$e-mail:$LOCEMAIL$
$LOCCOUNTY$Date:$SYSDATE$
$LOCPOSTCODE$

Dear  $CUSTOMERNAME$
</font>
",CUSTOMER COVER LETTER,HTML,7,Y,None,None,None,None,None,None
7,AR_CUSTOMERS,CUSTOMER COVER LETTER,CUSTOMER_COVER_LETTER,Y,API,None,1,None,2010-10-07 14:04:14,nan,2010-10-07 14:04:14,HTML,6,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,2,"<font size=2 >Thank you for your order. For your convenience we have attached herewith a latest stock list for
<b>$FREETEXT$</b>
This new list shows many new items that have arrived since our main price list was printed.The list shows a list of items that are currently in stock. If you cannot see what you need, just give us a ring and ask, as it may have arrived after the list was printed.

All images shown on our web site and leaflets are to give an indication of colour, design and packaging. The goods supplied may vary from the images shown.We would be obliged if you could check the name and address details on the invoice and let us know if there are any mistakes.</font>
",CUSTOMER COVER LETTER,HTML,8,Y,None,None,None,None,None,None
8,AR_CUSTOMERS,CUSTOMER COVER LETTER,CUSTOMER_COVER_LETTER,Y,API,None,1,None,2010-10-07 14:04:14,nan,2010-10-07 14:04:14,HTML,6,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,3,"<font size=5 >
           ******************************************
           *    Why not order on-line and check     *
           *      out our WEB-ONLY Special          *
           *       offers on our web site.          *
           *    www.oratechsols.co.uk               *
           ******************************************
</font>
",CUSTOMER COVER LETTER,HTML,9,Y,None,None,None,None,None,None
9,AR_CUSTOMERS,CUSTOMER LABEL,CUSTOMER_LABEL,Y,API,None,1,None,2011-03-11 20:54:58,nan,2011-03-11 20:54:58,HTML,13,SYSTEM,None,None,None,None,None,None,None,None,nan,nan,nan,N,1,"$CUSTOMERNAME$($CUSTOMERNUMBER$)
$BILLTOADDRESSLINE1$
$BILLTOCITY$
$BILLTOCOUNTY$
$BILLTOPOSTCODE$",CUSTOMER LABEL,HTML,19,Y,None,None,None,None,None,None
