,CR_RESP_ID,CM_MENU_ID,MENU_RESP_DESC,MENU_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,SL_NO
0,20,990108,M.INTER OFFICE MOVEMENT,1074,None,29.0,I,29.0,2019-06-06 17:25:49,2019-06-06 17:25:49,None,nan
1,6,512,Purchase Orderpad,1075,API,nan,I,nan,2020-12-03 19:02:12,2020-12-03 19:02:12,None,1.0
2,20,990106,M. MOVE TO PRIMARY SALES,1080,None,29.0,I,29.0,2021-01-18 07:22:37,2021-01-18 07:22:37,None,nan
3,20,990107,M.MOVE UNIT4 TO NDC,1073,None,29.0,I,29.0,2019-05-06 11:31:39,2019-05-06 11:31:39,None,nan
4,20,990503,M. SO CONFIRM DELIVERY,879,None,29.0,I,29.0,2011-10-17 18:25:47,2011-10-17 18:25:47,None,1.0
5,21,990301,M. PRICE CHECK,880,None,29.0,I,29.0,2011-10-17 18:26:38,2011-10-17 18:26:38,None,1.0
6,21,990302,M. LOCATE AN ITEM,881,None,29.0,I,29.0,2011-10-17 18:26:38,2011-10-17 18:26:38,None,2.0
7,21,990303,M. ITEMS IN SUBLOCATION,882,None,29.0,I,29.0,2011-10-17 18:26:38,2011-10-17 18:26:38,None,3.0
8,22,303,ITEMS,883,None,29.0,I,29.0,2011-10-17 18:28:30,2011-10-17 18:28:30,None,1.0
9,4,700012,Item In Sub Locations,887,API,nan,I,nan,2011-10-22 18:05:40,2011-10-22 18:05:40,None,1.0
10,2,6005,Report Log,918,API,nan,I,nan,2012-02-19 17:19:21,2012-02-19 17:19:21,None,1.0
11,20,990105,M.GRN DISTRIBUTION,910,None,29.0,I,29.0,2011-12-31 12:45:33,2011-12-31 12:45:33,None,nan
12,2,293,Schedule A Job,911,API,nan,I,nan,2012-01-29 16:13:21,2012-01-29 16:13:21,None,9.0
13,2,1000003,Job Queue,920,API,nan,I,nan,2012-02-19 17:19:21,2012-02-19 17:19:21,None,1.0
14,23,990101,M. INTERNAL MOVEMENT,943,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
15,23,990102,M. EXT TO INT MOVEMENT,944,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
16,23,990103,M. GOODS IN,945,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
17,23,990105,M.GRN DISTRIBUTION,946,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
18,23,990106,M. MOVE TO PRIMARY SALES,947,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
19,23,990201,M. FULFILL REQUISITION,948,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
20,23,990202,M. RECEIVE REQUISITION,949,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
21,23,990301,M. PRICE CHECK,950,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
22,23,990302,M. LOCATE AN ITEM,951,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
23,23,990303,M. ITEMS IN SUBLOCATION,952,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
24,23,990304,M. ITEM BY SUBLOCATION,953,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
25,23,990305,M.FIND SALES ORDER,954,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
26,23,990306,M.SALES ORDER QUERY,955,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
27,23,990307,M.SPACE CHECK,956,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
28,23,990404,M. UPDATE SUB LOC MIN/MAX,957,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
29,23,990405,M. ADD ITEM TO BATCH,958,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
30,23,990406,M. SET PRIMARY SALES,959,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
31,23,990501,M. SALES ORDER PICK LIST,960,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
32,23,990503,M. SO CONFIRM DELIVERY,961,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,nan
33,4,700017,GL Summary,967,API,nan,I,nan,2013-08-03 09:35:21,2013-08-03 09:35:21,None,1.0
34,7,40007,Sales Order Picking,968,API,nan,I,nan,2013-08-03 09:35:21,2013-08-03 09:35:21,None,1.0
35,7,40006,Sales Order Delivery,969,API,nan,I,nan,2013-08-03 09:35:21,2013-08-03 09:35:21,None,1.0
36,5,369,Sub Location Assignments,784,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,1.0
37,5,368,Internal Movements,785,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,1.0
38,10,1270,Worklist Maintenace,786,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,3.0
39,16,8011,Gl Cashing Up,787,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,2.0
40,7,454,Payin / Payout,788,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,2.0
41,4,944,Debit Note Summary,789,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,1.0
42,4,943,Price Check,790,API,nan,I,nan,2010-11-26 14:45:58,2010-11-26 14:45:58,None,1.0
43,3,626,Bulk Update Selling Prices,695,API,nan,I,nan,2010-09-08 18:19:53,2010-09-08 18:19:53,None,1.0
44,5,339,Item Quick Movement,696,API,nan,I,nan,2010-09-08 18:19:53,2010-09-08 18:19:53,None,1.0
45,1,5016,Clock IN / OUT,706,API,nan,I,nan,2010-09-13 17:59:21,2010-09-13 17:59:21,None,1.0
46,9,297,Web Sites Setup,707,API,nan,I,nan,2010-09-13 17:59:21,2010-09-13 17:59:21,None,1.0
47,7,452,Import Invoices,716,API,nan,I,nan,2010-09-13 18:00:10,2010-09-13 18:00:10,None,1.0
48,10,1012,Clock IN / OUT Audit,717,API,nan,I,nan,2010-09-13 18:00:10,2010-09-13 18:00:10,None,99.0
49,4,982,Item Drilldown,728,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,1.0
50,2,296,Mail Mege Template,729,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,2.0
51,2,292,Export Templates,730,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,3.0
52,2,229,Background Jobs,731,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,4.0
53,2,228,Scheduler Setup,732,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,5.0
54,2,226,System Log,733,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,7.0
55,2,227,Run a Process,734,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,6.0
56,10,1011,Compile Objects,736,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,1.0
57,10,1128,System Controls,737,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,1.0
58,2,1269,Notification Manager,774,API,nan,I,nan,2010-11-25 22:11:30,2010-11-25 22:11:30,None,8.0
59,4,812,Sales Invoice Summary,739,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,1.0
60,3,405,Customer Price List,740,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,2.0
61,7,405,Customer Price List,741,API,nan,I,nan,2010-10-07 14:04:14,2010-10-07 14:04:14,None,99.0
62,7,453,Reserved Items,762,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,10.0
63,10,301,Item Categories,764,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
64,10,10,Security,766,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
65,10,227,Run A Process,767,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
66,10,240,Profiles,768,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
67,10,250,Profile Values,769,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
68,10,260,Privileges,770,API,nan,I,nan,2010-10-14 15:23:22,2010-10-14 15:23:22,None,1.0
