,CF_FUNCTION_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,END_DATE,MENU_SL_NO,BU_ID,PARENT_MENU_ID,MENU_DESCRIPTION,MENU_TYPE,MENU_NAME,MENU_ID
0,547.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,5.0,None,81,EXPORT TO SAGE,I,EXPORT TO SAGE,810814
1,369.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,6.0,None,81,IMPORT DATA,I,IMPORT DATA,810815
2,450.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,7.0,None,81,IMPORT SALES INVOICE,I,IMPORT SALES INVOICE,810816
3,521.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,8.0,None,81,IMPORT SALES ORDER,I,IMPORT SALES ORDER,810817
4,548.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,9.0,None,81,IMPORT CUSTOMER,I,IMPORT CUSTOMER,810818
5,570.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,40.0,None,7,STOCK ADJUSTMENT SUMMARY,I,STOCK ADJUSTMENT SUMMARY,700018
6,572.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,41.0,None,7,DISPATCH SUMMARY,I,DISPATCH SUMMARY,700019
7,578.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,42.0,None,7,SALES ORDER DASH BOARD,I,SALES ORDER DASH BOARD,700020
8,581.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,43.0,None,7,ORDER PAD SUMMARY,I,ORDER PAD SUMMARY,700021
9,582.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,29.0,None,4,SALES ORDER PAD,I,SALES ORDER PAD,40008
10,583.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,10.0,None,81,EXPORT DATA,I,EXPORT DATA,810819
11,584.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,11.0,None,81,EXPORT MAINTENANCE,I,EXPORT MAINTENANCE,810820
12,585.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,12.0,None,81,IMPORT / EXPORT SETUP,I,IMPORT / EXPORT SETUP,810821
13,584.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,44.0,None,7,MANAGE EXPORT,I,MANAGE EXPORTS,700022
14,586.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,30.0,None,4,QUICK SALES ORDER,I,QUICK SALES ORDER,40009
15,587.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,45.0,None,7,ITEM STATUS QUERY,I,ITEM STATUS QUERY,700023
16,588.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,7.0,None,9904,M. UPDATE BIN,I,M. UPDATE BIN,990407
17,589.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,50.0,None,2,WEB SOURCES,I,WEB SOURCES,20006
18,590.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,51.0,None,2,MULTILANGUAGE TEXTS,I,MULTI LANGUAGE TEXTS,20007
19,591.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,46.0,None,7,THIRD PARTY FEEDS,I,THIRD PARTY FEEDS,700024
20,592.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,52.0,None,2,LANGUAGES,I,LANGUAGES,20008
21,593.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,47.0,None,7,COST PRICE HISTORY,I,COST PRICE HISTORY,700025
22,594.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,3.0,None,80,JOURNAL ENTRIES,I,JOURNAL ENTRIES,8021
23,595.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,4.0,None,80,GL TEMPLATE TRANS,I,GL TEMPLATE TRANS,8022
24,596.0,API,nan,I,nan,2015-10-02 18:51:07,2015-10-02 18:51:07,None,None,5.0,None,80,GL TEMPLATES,I,GL TEMPLATES,8023
25,584.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,37.0,None,7,MANAGE EXPORTS,I,MANAGE EXORTS,974
26,600.0,API,nan,I,nan,2020-12-03 19:02:09,2020-12-03 19:02:09,None,None,11.0,None,5,PURCHASE ORDERPAD,I,PURCHASE ORDERPAD,512
27,590.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,46.0,None,2,MULTILANGUAGE TEXTS,I,MULTILANGUAGE TEXTS,2001
28,576.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,1.0,None,9906,M. FIND PALLETS,I,M. FIND PALLETS,99601
29,575.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,2.0,None,9906,M. MOVE ITEM,I,M. MOVE ITEM,99602
30,574.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,3.0,None,9906,M. SPLIT PALLET,I,M.SPLIT PALLET,99603
31,573.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,4.0,None,9906,M. MERGE PALLET,I,M.MERGE PALLET,99604
32,585.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,2.0,None,81,IMPORT EXPORT SETUP,I,IMPORT EXPORT SETUP,810811
33,580.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,1.0,None,82,MANAGE PALLET,I,MANAGE PALLET,820820
34,579.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,2.0,None,82,MANAGE BOX,I,MANAGE BOX,820821
35,577.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,3.0,None,82,MANAGE DISPATCHES,I,MANAGE DISPATCHES,820822
36,571.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,4.0,None,82,PICKING ASSIGNMENTS,I,PICKING ASSIGNMENTS,820823
37,569.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,5.0,None,82,SPLIT GOODS IN,I,SPLIT GOODS IN,820824
38,598.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,5.0,None,9906,M.MANAGE DISPATCHES,I,M.MANAGE DISPATCHES,99605
39,599.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,48.0,None,7,EXTERNAL GRN SUMMARY,I,EXTERNAL GRN SUMMARY,700026
40,599.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,13.0,None,5,RECEIVE EXTERNAL PO,I,RECEIVE EXTERNAL PO,50003
41,600.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,14.0,None,5,PURCHASE ORDER PAD,I,PURCHASE ORDER PAD,50004
42,601.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,49.0,None,7,PURCHASE ORDERPAD SUMMARY,I,PURCHASE ORDERPAD SUMMARY,700027
43,602.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,50.0,None,7,SALES INVOICE DRILLDOWN,I,SALES INVOICE DRILLDOWN,700028
44,603.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,8.0,None,9904,None,I,M. ANNUAL STOCK TAKE,990408
45,604.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,51.0,None,7,SALES ORDER PICKING ENQUIRY,I,SALES ORDER PICKING ENQUIRY,700029
46,605.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,6.0,None,82,SPLIT STOCK,I,SPLIT STOCK,820825
47,606.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,52.0,None,7,ITEM CATEGORY ENQUIRY,I,ITEM CATEGORY ENQUIRY,700030
48,575.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,6.0,None,9906,M.MOVE ITEMS,I,M.MOVE ITEMS,99606
49,576.0,API,nan,I,nan,2019-04-20 13:25:41,2019-04-20 13:25:41,None,None,7.0,None,9906,M.FIND PALLETS,I,M:FIND PALLETS,99607
50,608.0,None,29.0,I,29.0,2019-05-06 11:31:08,2019-05-06 11:31:08,None,None,7.0,1,9901,M.MOVE UNIT4 TO NDC,I,M.MOVE UNIT4 TO NDC,990107
51,609.0,None,29.0,I,29.0,2019-06-06 17:25:23,2019-06-06 17:25:23,None,None,8.0,1,9901,M.INTER OFFICE MOVEMENT,I,M.INTER OFFICE MOVEMENT,990108
