,RECORD_STATUS,DELETE_FLAG,UPDATE_SOURCE,LAST_UPDATE_DATE,LAST_UPDATED_BY,CREATION_DATE,CRATED_BY,BU_ID,MODULE_DESC,MODULE_NAME,MODULE_ID,CREATED_BY,SL_NO
0,I,None,API,2010-11-25 22:11:25,None,2010-11-25 22:11:25,None,None,GENERAL LEDGER,GENERAL LEDGER,11,None,999
1,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,HUMAN RESOURCE,HUMAN RESOURCE,1,None,999
2,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,REPORTS,REPORTS,2,None,999
3,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,RECEIVABLES,RECEIVABLES,3,None,999
4,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,ENQUIRY,ENQUIRY,4,None,999
5,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,ADVANCE PRICING,ADVANCE PRICING,5,None,999
6,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,SYSADMIN,SYSADMIN,6,None,999
7,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,COMMON,COMMON,7,None,999
8,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,INVENTORY,INVENTORY,8,None,999
9,I,None,API,2009-12-28 15:43:27,None,2009-12-28 15:43:27,None,None,PAYABLES,PAYABLES,9,None,999
10,I,None,API,2010-08-03 07:58:30,None,2010-08-03 07:58:30,None,None,OTHER FUNCTIONS,OTHERS,10,None,999
11,I,None,API,2011-06-25 10:18:56,None,2011-06-25 10:18:56,None,None,ONLY USED FOR MOBILE APPLICATION,MOBILE,12,None,999
12,I,None,API,2015-10-02 18:51:06,None,2015-10-02 18:51:06,None,None,WAREHOUSE,WAREHOUSE,13,None,999
13,I,None,API,2015-10-02 18:51:06,None,2015-10-02 18:51:06,None,None,IMPORT EXPORT,IMPORT EXPORT,14,None,999
