,PROMPT,CRP_ID,UPDATE_SOURCE,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,CREATED_BY,DELETE_FLAG,BU_ID,ORDER_BY,SL_NO,CMRR_REPORT_ID,CMP_PARAMETER_ID,DEFAULT_VALUE
0,                              ,843,API,I,nan,2011-05-09 19:03:09,2011-05-09 19:03:09,nan,None,None,DESC,2,146,41,None
1,                              ,844,API,I,nan,2011-06-08 10:22:23,2011-06-08 10:22:23,nan,None,None,DESC,5,141,56,None
2,                              ,853,API,I,nan,2011-06-25 10:18:57,2011-06-25 10:18:57,nan,None,None,DESC,1,150,2,None
3,                              ,854,API,I,nan,2011-06-25 10:18:57,2011-06-25 10:18:57,nan,None,None,DESC,3,150,35,None
4,                              ,855,API,I,nan,2011-06-25 10:18:57,2011-06-25 10:18:57,nan,None,None,DESC,4,150,34,None
5,                              ,856,API,I,nan,2011-06-25 10:18:57,2011-06-25 10:18:57,nan,None,None,DESC,2,150,3,None
6,                              ,857,API,I,nan,2011-06-25 10:18:57,2011-06-25 10:18:57,nan,None,None,DESC,5,150,37,None
7,                              ,858,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,1,151,8,None
8,                              ,859,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,2,151,7,None
9,                              ,860,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,4,151,42,None
10,                              ,861,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,3,151,45,None
11,                              ,862,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,4,152,42,None
12,                              ,863,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,1,152,8,None
13,                              ,864,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,2,152,7,None
14,                              ,865,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,3,152,45,None
15,                              ,866,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,4,72,7,None
16,                              ,867,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,5,72,23,None
17,                              ,868,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,6,72,24,None
18,                              ,869,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,3,72,8,None
19,                              ,870,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,2,153,7,None
20,                              ,871,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,1,153,8,None
21,                              ,872,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,3,153,45,None
22,                              ,873,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,3,154,45,None
23,                              ,874,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,1,154,8,None
24,                              ,875,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,2,154,7,None
25,                              ,876,API,I,nan,2011-09-10 11:25:49,2011-09-10 11:25:49,nan,None,None,DESC,2,155,7,None
