CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,SEARCH_CONDITION,REF_PK,DELETE_RULE,CORDERBY,CONS_COLS,REF_TABLE,REF_COLUMNS,DATASOURCE
SYSLINECTRL_PK,PRIMARY KEY,SYS_CONTROL_LINES,None,NOVALUE,NO ACTION,1,CONTROL_LINE_ID,None,None,ORATECHCANNON
CMNPARAMVALUE_PK,PRIMARY KEY,SYS_JOB_PARAM_VALUES,None,NOVALUE,NO ACTION,1,PARAMVALUE_ID,None,None,ORATECHCANNON
JOBQUEUE_PK,PRIMARY KEY,SYS_JOB_QUEUE,None,NOVALUE,NO ACTION,1,QUEUE_ID,None,None,ORATECHCANNON
SYSLASTSAVED_PK,PRIMARY KEY,SYS_LASTSAVED_VALUES,None,NOVALUE,NO ACTION,1,SAVED_ID,None,None,ORATECHCANNON
SYSLOGGEDINSESSION_PK,PRIMARY KEY,SYS_LOGGEDINSESSIONS,None,NOVALUE,NO ACTION,1,SESSION_ID,None,None,ORATECHCANNON
SYSSAUDIT_PK,PRIMARY KEY,SYS_LOGIN_AUDIT,None,NOVALUE,NO ACTION,1,LOGIN_AUDIT_ID,None,None,ORATECHCANNON
SYSLOGH_PK,PRIMARY KEY,SYS_LOG_HEADERS,None,NOVALUE,NO ACTION,1,LOG_HEADER_ID,None,None,ORATECHCANNON
SYSLOGL_PK,PRIMARY KEY,SYS_LOG_LINES,None,NOVALUE,NO ACTION,1,LOG_LINE_ID,None,None,ORATECHCANNON
SYSNOTIFH_PK,PRIMARY KEY,SYS_NOTIFICATION_EVENTS,None,NOVALUE,NO ACTION,1,EVENT_ID,None,None,ORATECHCANNON
SYSNOTIFL_PK,PRIMARY KEY,SYS_NOTIFICATION_RECIPIENTS,None,NOVALUE,NO ACTION,1,EVENT_LINE_ID,None,None,ORATECHCANNON
SYSPROG_PK,PRIMARY KEY,SYS_PROGRAMS,None,NOVALUE,NO ACTION,1,PROGRAM_ID,None,None,ORATECHCANNON
SYSCHJOB_PK,PRIMARY KEY,SYS_SCHEDULE_JOBS,None,NOVALUE,NO ACTION,1,JOB_ID,None,None,ORATECHCANNON
SYSUIITEMATTR_ID_PK,PRIMARY KEY,SYS_UIITEMATTRS,None,NOVALUE,NO ACTION,1,ITEM_ATTR_ID,None,None,ORATECHCANNON
SYSUIITEM_ID_PK,PRIMARY KEY,SYS_UIITEMS,None,NOVALUE,NO ACTION,1,ITEM_ID,None,None,ORATECHCANNON
SYSUIREG_ID_PK,PRIMARY KEY,SYS_UIREGIONS,None,NOVALUE,NO ACTION,1,REGION_ID,None,None,ORATECHCANNON
SYSUSERCTRL_PK,PRIMARY KEY,SYS_USER_CONTROLS,None,NOVALUE,NO ACTION,1,USER_CONTROL_ID,None,None,ORATECHCANNON
SYSWORKLIST_ID_PK,PRIMARY KEY,SYS_WORKLIST,None,NOVALUE,NO ACTION,1,WORKLIST_ID,None,None,ORATECHCANNON
TP_SOURCELINE_PK,PRIMARY KEY,TP_STOCK_LINES,None,NOVALUE,NO ACTION,1,TP_STOCK_LINE_ID,None,None,ORATECHCANNON
TPSOURCE_PK,PRIMARY KEY,TP_STOCK_SOURCES,None,NOVALUE,NO ACTION,1,TP_SOURCE_ID,None,None,ORATECHCANNON
WWW_NODES_PK,PRIMARY KEY,WWW_NODES,None,NOVALUE,NO ACTION,1,WWW_NODE_ID,None,None,ORATECHCANNON
WWW_SOURCE_PK,PRIMARY KEY,WWW_SOURCES,None,NOVALUE,NO ACTION,1,WWW_SOURCE_ID,None,None,ORATECHCANNON
WWW_SUBSOURCE_PK,PRIMARY KEY,WWW_SUB_SOURCES,None,NOVALUE,NO ACTION,1,WWW_SUB_SOURCE_ID,None,None,ORATECHCANNON
INVMSEASON_PK,PRIMARY KEY,INV_ITEM_MULTI_SEASONS,None,NOVALUE,NO ACTION,1,MULTI_SEASON_ID,None,None,ORATECHCANNON
IIOH_PK,PRIMARY KEY,INV_ITEM_OFFER_HEADERS,None,NOVALUE,NO ACTION,1,OFFER_HEADER_ID,None,None,ORATECHCANNON
IIOL_PK,PRIMARY KEY,INV_ITEM_OFFER_LINES,None,NOVALUE,NO ACTION,1,OFFER_LINE_ID,None,None,ORATECHCANNON
INVITPICKLIST_PK,PRIMARY KEY,INV_ITEM_PICKLIST,None,NOVALUE,NO ACTION,1,PICKLIST_ID,None,None,ORATECHCANNON
IIPH_PK,PRIMARY KEY,INV_ITEM_PO_HISTORIES,None,NOVALUE,NO ACTION,1,IIPH_ID,None,None,ORATECHCANNON
IIP_PK,PRIMARY KEY,INV_ITEM_PRICEBREAKS,None,NOVALUE,NO ACTION,1,ID,None,None,ORATECHCANNON
IIP1_PK,PRIMARY KEY,INV_ITEM_PRICEHISTORIES,None,NOVALUE,NO ACTION,1,IIP1_ID,None,None,ORATECHCANNON
IISU_PK,PRIMARY KEY,INV_ITEM_SALES_UNITS,None,NOVALUE,NO ACTION,1,SU_ID,None,None,ORATECHCANNON
IISN_PK,PRIMARY KEY,INV_ITEM_SERIAL_NUMBERS,None,NOVALUE,NO ACTION,1,SERIAL_NUMBER_ID,None,None,ORATECHCANNON
IIS_PK,PRIMARY KEY,INV_ITEM_STATUSES,None,NOVALUE,NO ACTION,1,ITEM_ID,None,None,ORATECHCANNON
INVITEMSUBLOCGRP_PK,PRIMARY KEY,INV_ITEM_SUBLOC_GROUPS,None,NOVALUE,NO ACTION,1,ISG_ID,None,None,ORATECHCANNON
ISUBSNAP_PK,PRIMARY KEY,INV_ITEM_SUBLOC_SNAP,None,NOVALUE,NO ACTION,1,SNAPSHOT_ID,None,None,ORATECHCANNON
IISC_PK,PRIMARY KEY,INV_ITEM_SUB_CATEGORIES,None,NOVALUE,NO ACTION,1,SUB_CATEGORY_ID,None,None,ORATECHCANNON
IIT_PK,PRIMARY KEY,INV_ITEM_TEMPS,None,NOVALUE,NO ACTION,1,ID,None,None,ORATECHCANNON
IL_PK,PRIMARY KEY,INV_LOCATIONS,None,NOVALUE,NO ACTION,1,LOCATION_ID,None,None,ORATECHCANNON
LOCPL_PK,PRIMARY KEY,INV_LOCATION_PRICELISTS,None,NOVALUE,NO ACTION,1,LOCATION_PRICELIST_ID,None,None,ORATECHCANNON
IM_PK,PRIMARY KEY,INV_MANUFACTURERS,None,NOVALUE,NO ACTION,1,MANF_ID,None,None,ORATECHCANNON
MKUPTEMPHEADERS_PK,PRIMARY KEY,INV_MKUPTEMP_HEADERS,None,NOVALUE,NO ACTION,1,MKUPTEMP_ID,None,None,ORATECHCANNON
MKUPTEMPLINES_PK,PRIMARY KEY,INV_MKUPTEMP_LINES,None,NOVALUE,NO ACTION,1,MKUPTEMP_LINE_ID,None,None,ORATECHCANNON
ISMREVNAP_PK,PRIMARY KEY,INV_MONHLYREVIEW_VAL_SNAP,None,NOVALUE,NO ACTION,1,SNAPSHOT_ID,None,None,ORATECHCANNON
IO_PK,PRIMARY KEY,INV_OPTIONS,None,NOVALUE,NO ACTION,1,INV_OPTIONS_ID,None,None,ORATECHCANNON
INVPALLET_PK,PRIMARY KEY,INV_PALLETS,None,NOVALUE,NO ACTION,1,PALLET_ID,None,None,ORATECHCANNON
IPBH_PK,PRIMARY KEY,INV_PRICE_BREAK_HEADERS,None,NOVALUE,NO ACTION,1,PRICE_BREAK_ID,None,None,ORATECHCANNON
IPBL_PK,PRIMARY KEY,INV_PRICE_BREAK_LINES,None,NOVALUE,NO ACTION,1,PRICE_BREAK_LINE_ID,None,None,ORATECHCANNON
IPT_PK,PRIMARY KEY,INV_PRICE_TYPES,None,NOVALUE,NO ACTION,1,PRICE_TYPE_ID,None,None,ORATECHCANNON
INVQKCODEHEADERS_PK,PRIMARY KEY,INV_QUICKCODE_HEADERS,None,NOVALUE,NO ACTION,1,QUICKCODE_ID,None,None,ORATECHCANNON
INVQKCODELINES_PK,PRIMARY KEY,INV_QUICKCODE_LINES,None,NOVALUE,NO ACTION,1,QUICKCODE_LINE_ID,None,None,ORATECHCANNON
INVREQUISITIONHEADERS_PK,PRIMARY KEY,INV_REQUISITION_HEADERS,None,NOVALUE,NO ACTION,1,REQUISITION_ID,None,None,ORATECHCANNON
INVREQUISITIONLINES_PK,PRIMARY KEY,INV_REQUISITION_LINES,None,NOVALUE,NO ACTION,1,REQUISITION_LINE_ID,None,None,ORATECHCANNON
INVSLNMTRANS_PK,PRIMARY KEY,INV_SERIALNUM_TRANSACTIONS,None,NOVALUE,NO ACTION,1,TRANSACTION_ID,None,None,ORATECHCANNON
INVSIMCATL_PK,PRIMARY KEY,INV_SIMILAR_CATEGORIES,None,NOVALUE,NO ACTION,1,SIMILAR_CATEGORY_ID,None,None,ORATECHCANNON
SIH_PK,PRIMARY KEY,INV_SIMILAR_ITEM_HEADERS,None,NOVALUE,NO ACTION,1,SIMILAR_ITEM_ID,None,None,ORATECHCANNON
INVSLOCASSIGNB_PK,PRIMARY KEY,INV_SLOCASSIGN_BATCHS,None,NOVALUE,NO ACTION,1,ASSIGNMENT_BATCH_ID,None,None,ORATECHCANNON
INVSLOCASSIGNHEADERS_PK,PRIMARY KEY,INV_SLOCASSIGN_HEADERS,None,NOVALUE,NO ACTION,1,ASSIGNMENT_ID,None,None,ORATECHCANNON
INVSLOCASSIGNLINES_PK,PRIMARY KEY,INV_SLOCASSIGN_LINES,None,NOVALUE,NO ACTION,1,ASSIGNMENT_LINE_ID,None,None,ORATECHCANNON
ISI_PK,PRIMARY KEY,INV_STKTAKE_ITEMS,None,NOVALUE,NO ACTION,1,STKTAKE_ITEM_ID,None,None,ORATECHCANNON
