INDEX_NAME,INDEX_TYPE,TABLE_NAME,TABLE_TYPE,TABLESPACE_NAME,IND_COLS,DATASOURCE
ADH_DBNOTE_UK1_UK,NORMAL,AP_DBNOTE_HEADERS,TABLE,ORATECH_DATA,DBNOTE_NUMBER,ORATECHCANNON
ADH_PK,NORMAL,AP_DBNOTE_HEADERS,TABLE,ORATECH_DATA,DBNOTE_ID,ORATECHCANNON
ADL_PK,NORMAL,AP_DBNOTE_LINES,TABLE,ORATECH_DATA,DBNOTE_LINE_ID~DBNOTE_ID~,ORATECHCANNON
APINV_BATCHNAME,NORMAL,AP_INVOICE_HEADERS,TABLE,ORATECH_INDX,BATCH_NAME,ORATECHCANNON
APINV_PK,NORMAL,AP_INVOICE_HEADERS,TABLE,ORATECH_DATA,INVOICE_ID,ORATECHCANNON
APINV_POHID,NORMAL,AP_INVOICE_HEADERS,TABLE,ORATECH_INDX,PO_HEADER_ID,ORATECHCANNON
APINV_UK1,NORMAL,AP_INVOICE_HEADERS,TABLE,ORATECH_DATA,INVOICE_NUMBER,ORATECHCANNON
APINVL_PK,NORMAL,AP_INVOICE_LINES,TABLE,ORATECH_DATA,INVOICE_LINE_ID,ORATECHCANNON
APINVL_POLID,NORMAL,AP_INVOICE_LINES,TABLE,ORATECH_INDX,PO_LINE_ID,ORATECHCANNON
APINVL_UK1,NORMAL,AP_INVOICE_LINES,TABLE,ORATECH_DATA,INVOICE_ID~SL_NO~,ORATECHCANNON
AO1_PK,NORMAL,AP_OPTIONS,TABLE,ORATECH_DATA,AP_OPTIONS_ID,ORATECHCANNON
APPMNT_BATCHNAME,NORMAL,AP_PAYMENT_HEADERS,TABLE,ORATECH_INDX,BATCH_NAME,ORATECHCANNON
APPMNT_PK,NORMAL,AP_PAYMENT_HEADERS,TABLE,ORATECH_DATA,PAYMENT_HEADER_ID,ORATECHCANNON
APINVL_UK2,NORMAL,AP_PAYMENT_LINES,TABLE,ORATECH_DATA,PAYMENT_HEADER_ID~SL_NO~,ORATECHCANNON
APPMNTL_INVOICEID,NORMAL,AP_PAYMENT_LINES,TABLE,ORATECH_INDX,INVOICE_ID,ORATECHCANNON
APPMNTL_PK,NORMAL,AP_PAYMENT_LINES,TABLE,ORATECH_DATA,PAYMENT_LINE_ID,ORATECHCANNON
APPMNTL_SUPID,NORMAL,AP_PAYMENT_LINES,TABLE,ORATECH_INDX,SUP_SUPPLIER_ID,ORATECHCANNON
AP_SUPNAME,NORMAL,AP_SUPPLIERS,TABLE,ORATECH_INDX,SUPPLIER_NAME,ORATECHCANNON
AP_SUPORIGREF,NORMAL,AP_SUPPLIERS,TABLE,ORATECH_INDX,ORIG_SYSTEM_REF,ORATECHCANNON
SUPPLIERNUMBER_UK4,NORMAL,AP_SUPPLIERS,TABLE,ORATECH_DATA,SUPPLIER_NUMBER,ORATECHCANNON
SUP_PK,NORMAL,AP_SUPPLIERS,TABLE,ORATECH_DATA,SUPPLIER_ID,ORATECHCANNON
ASPL_AR_SUPPL_UK_UK,NORMAL,AP_SUPPLIER_PRICE_LISTS,TABLE,ORATECH_DATA,ITEM_ID~SUPPLIER_ID~,ORATECHCANNON
ASPL_PK,NORMAL,AP_SUPPLIER_PRICE_LISTS,TABLE,ORATECH_DATA,PRICE_LIST_ID,ORATECHCANNON
ASP_AP_SUP_PROF_UK1_UK,NORMAL,AP_SUPPLIER_PROFILES,TABLE,ORATECH_DATA,SUP_PROFILE_NAME,ORATECHCANNON
ASP_PK,NORMAL,AP_SUPPLIER_PROFILES,TABLE,ORATECH_DATA,SUP_PROFILE_ID,ORATECHCANNON
SUPSNAP_PK,NORMAL,AP_SUPSUM_SNAP,TABLE,ORATECH_DATA,SNAPSHOT_ID,ORATECHCANNON
CUSTEMAIL_UK8,NORMAL,AR_CUSTOMERS,TABLE,ORATECH_DATA,EMAIL,ORATECHCANNON
