,ACTIVE,UPDATE_SOURCE,DELETE_FLAG,BU_ID,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,WHAT_TO_RUN,SL_NO,JOB_TYPE,JOB_SHORT_NAME,DESCRIPTION,JOB_NAME,JOB_ID,END_DATE,START_DATE,PARAM_ID,LINE_SL_NO,LINE_ACTIVE,PARAM_NAME,PARAM_PROMPT,PARAM_TYPE,PARAM_FORMAT,PARAM_DEFAULT_VALUE,PARAM_DESCRIPTION,PARAM_START_DATE,PARAM_END_DATE
0,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,231,1,Y,P_VIEWNAME,VIEW NAME,CHAR,None,EXP_ARORDHSTATUS_V,None,None,None
1,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,232,2,Y,P_FILENAME,FILE NAME,CHAR,None,ARORDHSTATUS.TXT,None,None,None
2,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,233,3,Y,P_CALLCODE,CALL CODE,CHAR,None,0,None,None,None
3,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,234,4,Y,P_DELIMITER,DELIMTER,CHAR,None,|,None,None,None
4,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,235,5,Y,P_NOTIFGROUP,NOTIFCATION GROUP,CHAR,None,NONE,None,None,None
5,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER H STATUS,None,AR ORDER H STATUS,51,None,None,262,6,Y,P_HINT,HINT,CHAR,None,ALL,None,None,None
6,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,226,1,Y,P_VIEWNAME,VIEW NAME,CHAR,None,EXP_ARORDLSTATUS_V,None,None,None
7,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,227,2,Y,P_FILENAME,FILE NAME,CHAR,None,ARORDLSTATUS.TXT,None,None,None
8,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,228,3,Y,P_CALLCODE,CALL CODE,CHAR,None,0,None,None,None
9,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,229,4,Y,P_DELIMITER,DELIMTER,CHAR,None,|,None,None,None
10,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,230,5,Y,P_NOTIFGROUP,NOTIFCATION GROUP,CHAR,None,NONE,None,None,None
11,Y,API,None,1,None,2011-12-31 12:44:16,nan,2011-12-31 12:44:16,IMPEXP_PKG.EXPORT_VIEWDATA,3,PL/SQL,AR ORDER L STATUS,None,AR ORDER L STATUS,50,None,None,261,6,Y,P_HINT,HINT,CHAR,None,ALL,None,None,None
12,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,370,1,Y,P_VIEWNAME,VIEW NAME,CHAR,None,EXP_BINLOCATIONS1_V,None,None,None
13,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,371,2,Y,P_FILENAME,FILE NAME,CHAR,None,BINLOCATIONS.TXT,None,None,None
14,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,372,3,Y,P_CALLCODE,CALL CODE,NUMBER,None,0,None,None,None
15,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,373,4,Y,P_DELIMITER,DELIMITER,CHAR,None,",",None,None,None
16,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,374,5,Y,P_NOTIFGROUP,NOTIFICATION GROUP,CHAR,None,NONE,None,None,None
17,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP_PKG.EXPORT_VIEWDATA,99,PL/SQL,BIN LOCATIONS1,None,BIN LOCATIONS1,104,None,None,375,6,Y,P_HINT,HINT,CHAR,None,ALL,None,None,None
18,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP2_PKG.WRITE_TO_FILES,1,PL/SQL,BLANKFILES,None,BLANK FILES,97,None,None,358,1,Y,P_DIRECTORY,DIRECTORY,CHAR,None,DIR_OUTBOUND,None,None,None
19,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP2_PKG.WRITE_TO_FILES,1,PL/SQL,BLANKFILES,None,BLANK FILES,97,None,None,360,2,Y,P_FILE0HEADER,FILE0 HEDER,CHAR,None,"column1,column2,column3",None,None,None
20,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP2_PKG.WRITE_TO_FILES,1,PL/SQL,BLANKFILES,None,BLANK FILES,97,None,None,359,2,Y,P_FILE0,FILE0,CHAR,None,BLANKFILE.csv,None,None,None
21,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,IMPEXP2_PKG.WRITE_TO_FILES,1,PL/SQL,BLANKFILES,None,BLANK FILES,97,None,None,361,4,Y,P_FILE0DATA,FILE0 DATA,CHAR,None,"data1,data2,data3",None,None,None
22,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,INV02_PKG.CAL_WEBPRICES,1,PL/SQL,CALWBPRICE,None,CALCULATE WEB PRICES,106,None,None,382,1,Y,P_HINT,HINT,CHAR,None,ALL,None,None,None
23,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,INV02_PKG.CAL_WEBPRICES,1,PL/SQL,CALWBPRICE,None,CALCULATE WEB PRICES,106,None,None,383,2,Y,P_BASEPRICE,BASEPRICE,NUMBER,None,1,None,None,None
24,Y,API,None,1,None,2015-10-02 18:51:14,nan,2015-10-02 18:51:14,INV02_PKG.CAL_WEBPRICES,1,PL/SQL,CALWBPRICE,None,CALCULATE WEB PRICES,106,None,None,384,3,Y,P_PRICEBASIS,PRICEBASIS,CHAR,None,NOVAT,None,None,None
25,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.COPYSALESINVOICE,1,PL/SQL,COPY SALES INVOICE,None,COPY SALES INVOICE,58,None,None,296,1,Y,P_HEADERID,INVOICE ID,NUMBER,None,0,None,None,None
26,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.COPYSALESINVOICE,1,PL/SQL,COPY SALES INVOICE,None,COPY SALES INVOICE,58,None,None,297,2,Y,P_INVOICENUMBER,INVOICE NUMBER,CHAR,None,461,None,None,None
27,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.COPYSALESINVOICE,1,PL/SQL,COPY SALES INVOICE,None,COPY SALES INVOICE,58,None,None,298,3,Y,P_TOINVOICETYPE,INVOICE TYPE,CHAR,None,None,None,None,None
28,N,API,None,1,None,2011-12-31 12:44:16,29.0,2012-01-29 16:25:23,SCHEDULE_PKG.AR_CREATEBACKORDER,1,PL/SQL,CREATE SO BO,None,CREATE SO BACKORDERS,43,None,None,192,1,Y,P_HINT,HINT,CHAR,None,APPEND,None,None,None
29,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,252,1,Y,P_HINT,HINT,CHAR,None,CUSTOMER,None,None,None
30,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,253,2,Y,P_FILEPREFIX,FILEPREFIX,CHAR,None,CU%,None,None,None
31,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,254,3,Y,P_INDIRECTORY,INBOUND DIRECTORY,CHAR,None,DIR_ARIMPORT,None,None,None
32,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,255,4,Y,P_FILENAME,FILENAME,CHAR,None,None,None,None,None
33,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,256,5,Y,P_NOTIFGROUP,NOTIFGROUP,CHAR,None,OWNER GROUP,None,None,None
34,Y,API,None,1,None,2012-01-29 16:13:22,nan,2012-01-29 16:13:22,IMPEXP_PKG.AUTOIMPORT,90,PL/SQL,CUSTIMP01,None,CSUTOMER IMPORT 01,55,None,None,257,6,Y,P_LOCATIONID,LOCATION ID,CHAR,None,2,None,None,None
35,N,API,None,1,None,2010-08-26 19:11:28,2.0,2011-01-21 12:33:32,ORACLEAPPSSYNC_PKG.GRN_EXTRACT,99,PL/SQL,DAILYGRNEXTRACT,None,DAILY GRN EXTRACT,4,None,None,8,1,Y,P_NOOFDAYS,NO OF DAYS,NUMBER,None,1,None,None,None
36,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.SALESINVOICE_ACTIVITY,3,PL/SQL,EMAIL DAILY INVOICES,None,EMAIL DAILY INVOICES,57,None,None,293,1,Y,P_DATEFROM,DATE FROM,DATE,None,TRUNC(SYSDATE),None,None,None
37,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.SALESINVOICE_ACTIVITY,3,PL/SQL,EMAIL DAILY INVOICES,None,EMAIL DAILY INVOICES,57,None,None,294,2,Y,P_DATETO,DATE TO,DATE,None,TRUNC(SYSDATE+1),None,None,None
38,Y,API,None,1,None,2012-02-19 17:19:22,nan,2012-02-19 17:19:22,SCHEDULE_PKG.SALESINVOICE_ACTIVITY,3,PL/SQL,EMAIL DAILY INVOICES,None,EMAIL DAILY INVOICES,57,None,None,295,3,Y,P_DESTYPE,DESTYPE,CHAR,None,EMAIL,None,None,None
39,N,API,None,1,None,2011-02-20 18:04:10,29.0,2012-01-29 16:28:22,IMPEXP_PKG.EXPORT_AMAZONTEMPLATE,11,PL/SQL,EXPORT ITEMS 110924,None,EXPORT AMAZON ITEMS,27,None,None,116,1,Y,P_FORWHOM,WEBSIITE NAME,CHAR,None,AAF001,None,None,None
40,N,API,None,1,None,2011-02-20 18:04:10,29.0,2012-01-29 16:28:22,IMPEXP_PKG.EXPORT_AMAZONTEMPLATE,11,PL/SQL,EXPORT ITEMS 110924,None,EXPORT AMAZON ITEMS,27,None,None,117,2,Y,P_DELIMITER,DELIMITER,CHAR,None,",",None,None,None
