OBJECT_NAME,COLUMN_NAME,DATA_TYPE,DATA_WIDTH,DATA_PRECISION,DEFAULTVAL,NULLABLE,DATASOURCE
AP_DBNOTE_HEADERS,CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,RECORD_STATUS,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,PO_HEADER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_NUMBER,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,SUP_SUPPLIER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,SOURCED_FROM,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,SOURCE_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,TRANSACTION_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,COMMENTS,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,NET_TOTAL,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,VAT_TOTAL,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DISCOUNT_TOTAL,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,GROSS_TOTAL,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,SOURCE_OBJECT,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_REFERENCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_STATUS,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,CREATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,BU_ID,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,CREATION_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_SETTLED,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_SETTLED_ON,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_SOURCE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_STATUS_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_STATUS_BY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DBNOTE_SETTLED_BY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DELIVERY_NOTE_REF,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,DELIVERY_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,SHIPTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,BILLTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_HEADERS,ADJUST_STOCK,VARCHAR2,1,0,'N' ,True,ORATECHCANNON
AP_DBNOTE_LINES,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,EXCHANGE_RATE,NUMBER,12,6,1,True,ORATECHCANNON
AP_DBNOTE_LINES,SUB_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,RECORD_STATUS,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_DBNOTE_LINES,ITEM_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,ITEM_NAME,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,CREATION_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,CREATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,BU_ID,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,SOURCE_REF_ID1,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,SOURCE_REF_ID2,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,QTY_DBNOTE_UNITS,NUMBER,12,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,UNIT_CP,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,CASE_CP,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,CASE_SIZE,NUMBER,12,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,NET_PRICE,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,TAX_PRICE,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DISCOUNT_PRICE,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,INVOICED_PRICE,NUMBER,12,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_STATUS_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_LINE_DESC,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,SUP_PRODUCT_CODE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,QTY_INSTOCK,NUMBER,12,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_STATUS,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DETAIL_COMMENTS,VARCHAR2,100,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_ADD_REDUCE,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,TAX_RATE,NUMBER,14,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,TAX_CODE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,ATTRIBUTE1,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,ATTRIBUTE2,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_LINE_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_DBNOTE_LINES,QTY_ORDERED_UNITS,NUMBER,13,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,QTY_DELIVERED_UNITS,NUMBER,13,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,QTY_RECEIVED_UNITS,NUMBER,13,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,QTY_INVOICED_UNITS,NUMBER,13,3,None,True,ORATECHCANNON
AP_DBNOTE_LINES,RECEIPT_PRICE,NUMBER,12,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,PO_HEADER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,PO_LINE_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,SL_NO,NUMBER,6,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,LINE_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,DBNOTE_REASON,VARCHAR2,20,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,ORDER_PRICE,NUMBER,12,2,None,True,ORATECHCANNON
AP_DBNOTE_LINES,LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_DBNOTE_LINES,ADJUST_STOCK,VARCHAR2,1,0,'N' ,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_TYPE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,PMNT_METHOD_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,VAT_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,NET_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,PAYMENT_CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_CURRENCY_CODE,VARCHAR2,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_NUMBER,VARCHAR2,30,0,None,False,ORATECHCANNON
AP_INVOICE_HEADERS,SUP_SUPPLIER_ID,NUMBER,10,0,None,False,ORATECHCANNON
AP_INVOICE_HEADERS,UPDATE_SOURCE,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,DELETE_FLAG,VARCHAR2,1,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CANCELLED_AMOUNT,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CANCELLED_BY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CANCELLED_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,AUTHORIZED_BY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,EXCHANGE_RATE,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,APPROVED_AMOUNT,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,VOUCHER_NUM,VARCHAR2,50,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_RECEIVED_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GRN_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GRN_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,PO_HEADER_ID,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,SHIPTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_USER_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,BILLTO_LOCATION_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_STATUS,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,NOTES1,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,TRANS_CATEGORY,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,BATCH_NAME,VARCHAR2,30,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,PAID_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,BALANCE_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GROSS_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CPT_ID,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,DISCOUNT_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GL_ACCOUNT_CODE,NUMBER,10,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,DESCRIPTION,VARCHAR2,240,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,NOTES2,VARCHAR2,2000,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,CARRIAGE_TOTAL,NUMBER,12,2,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,GL_ACCOUNTING_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,LAST_UPDATED_BY,NUMBER,15,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,LAST_UPDATE_DATE,DATE,7,0,None,True,ORATECHCANNON
AP_INVOICE_HEADERS,INVOICE_ID,NUMBER,10,0,None,False,ORATECHCANNON
