VIEW_NAME,TEXT,TEXT_LENGTH,DATASOURCE
ALL_MONTHS_V,"Select 1 ORDERBY , 'JANUARY' IDVALUE , 'JANUARY' id, 'JAN' SHORTNAME FROM DUAL
UNION
Select 2 ORDERBY , 'FEBRUARY' IDVALUE , 'FEBRUARY' id, 'FEB' SHORTNAME FROM DUAL
UNION
Select 3 ORDERBY , 'MARCH' IDVALUE , 'MARCH' id, 'MAR' SHORTNAME FROM DUAL
UNION
Select 4 ORDERBY , 'APRIL' IDVALUE , 'APRIL' id, 'APR' SHORTNAME FROM DUAL
UNION
Select 5 ORDERBY , 'MAY' IDVALUE , 'MAY' id, 'MAY' SHORTNAME FROM DUAL
UNION
Select 6 ORDERBY , 'JUNE' IDVALUE , 'JUNE' id, 'JUN' SHORTNAME FROM DUAL
UNION
Select 7 ORDERBY , 'JULY' IDVALUE , 'JULY' id, 'JUL' SHORTNAME FROM DUAL
union
Select 8 ORDERBY , 'AUGUST' IDVALUE , 'AUGUST' id, 'AUG' SHORTNAME FROM DUAL
UNION
Select 9 ORDERBY , 'SEPTEMBER' IDVALUE , 'SEPTEMBER' id, 'SEP' SHORTNAME FROM DUAL
UNION
Select 10 ORDERBY , 'OCTOBER' IDVALUE , 'OCTOBER' id, 'OCT' SHORTNAME FROM DUAL
UNION
Select 11 ORDERBY , 'NOVEMBER' IDVALUE , 'NOVEMBER' id, 'NOV' SHORTNAME FROM DUAL
UNION
Select 12 ORDERBY , 'DECEMBER' IDVALUE , 'DECEMBER' id, 'DEC' SHORTNAME FROM DUAL",996,ORATECHCANNON
API_ATTACHMENTS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_attachments(Sysdate-99999))",72,ORATECHCANNON
API_EXTRACTDATA_V,"select 'API_MODULES_V','cmn_modules.txt' from Dual
Union ALL
select 'API_MENUS_V','cmn_menus.txt' from Dual
Union ALL
 select 'API_FUNCTIONS_V','cmn_functions.txt' from Dual
Union ALL
 select 'API_PARAMETERS_V','cmn_params.txt' from Dual
Union ALL
 select 'API_REPORTS_V','cmn_reports.txt' from Dual
Union ALL
 select 'API_REPPARAMS_V','cmn_repparams.txt' from Dual
Union ALL
 select 'API_LookupTypes_V','cmn_lookuptypes.txt' from Dual
Union ALL
 select 'API_Lookupcodes_V','cmn_lookupcodes.txt' from Dual
Union ALL
 select 'API_Profiles_V','cmn_Profiles.txt' from Dual
Union ALL
 select 'API_Privileges_V','cmn_Privileges.txt' from Dual
Union ALL
 select 'API_RESPONSIBILITY_V','cmn_resp.txt' from Dual
Union ALL
 select 'API_userresp_V','cmn_userresp.txt' from Dual
Union ALL
 select 'API_menuresp_V','cmn_menuresp.txt' from Dual
Union ALL
 select 'API_navigations_V','cmn_navigations.txt' from Dual
Union ALL
 select 'API_syscontrols_V','sys_controls.txt' from Dual
Union ALL
 select 'API_sysprograms_V','sys_dfltprogs.txt' from Dual
Union ALL
 select 'API_mailmerge_V','cmn_mailmerge.txt' from Dual
Union ALL
 select 'API_jobs_V','sys_jobs.txt' from Dual
Union ALL
 select 'API_attachments_V','sys_attachments.txt' from Dual
Union ALL
 select 'API_notifevents_V','sys_notifevents.txt' from Dual
",1299,ORATECHCANNON
API_FUNCTIONS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Functions(Sysdate-99999))",70,ORATECHCANNON
API_JOBS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Jobs(Sysdate-99999))",65,ORATECHCANNON
API_LOOKUPCODES_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_LookupCodes(Sysdate-99999))",72,ORATECHCANNON
API_LOOKUPTYPES_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_LookupTypes(Sysdate-99999))",72,ORATECHCANNON
API_MAILMERGE_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_MailMergeTemplate(Sysdate-99999))",78,ORATECHCANNON
API_MENURESP_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_MENURESP(Sysdate-99999))",69,ORATECHCANNON
API_MENUS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_MENUS(Sysdate-99999))",66,ORATECHCANNON
API_MODULES_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_modules(Sysdate-99999))",68,ORATECHCANNON
API_NAVIGATIONS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Navigations(Sysdate-99999))",72,ORATECHCANNON
API_NOTIFEVENTS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_NotifEvents(Sysdate-99999))",72,ORATECHCANNON
API_PARAMETERS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Parameters(Sysdate-99999))",71,ORATECHCANNON
API_PRIVILEGES_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Privileges(Sysdate-99999))",71,ORATECHCANNON
API_PROFILES_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Profiles(Sysdate-99999))",69,ORATECHCANNON
API_REPORTS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_Reports(Sysdate-99999))",68,ORATECHCANNON
API_REPPARAMS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_RepParams(Sysdate-99999))",70,ORATECHCANNON
API_RESPONSIBILITY_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_RESPONSIBILITY(Sysdate-99999))",75,ORATECHCANNON
API_SYSCONTROLS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_SysControls(Sysdate-99999))",72,ORATECHCANNON
API_SYSPROGRAMS_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_dfltPrograms(Sysdate-99999))",73,ORATECHCANNON
API_USERRESP_V,"select ""STRING""
 from table(Sysadmin_Pkg.Get_USERRESP(Sysdate-99999))",69,ORATECHCANNON
AP_DBNOTE_HEADERS_V,"Select ""CURRENCY_CODE"",""RECORD_STATUS"",""PO_HEADER_ID"",""DBNOTE_ID"",""DBNOTE_NUMBER"",""SUP_SUPPLIER_ID"",""SOURCED_FROM"",""SOURCE_TYPE"",""TRANSACTION_TYPE"",""COMMENTS"",""NET_TOTAL"",""VAT_TOTAL"",""DISCOUNT_TOTAL"",""GROSS_TOTAL"",""SOURCE_OBJECT"",""DBNOTE_REFERENCE"",""DBNOTE_STATUS"",""LAST_UPDATE_DATE"",""LAST_UPDATED_BY"",""CREATED_BY"",""BU_ID"",""CREATION_DATE"",""DBNOTE_DATE"",""UPDATE_SOURCE"",""DELETE_FLAG"",""DBNOTE_SETTLED"",""DBNOTE_SETTLED_ON"",""DBNOTE_SOURCE_ID"",""DBNOTE_STATUS_DATE"",""DBNOTE_STATUS_BY"",""DBNOTE_SETTLED_BY"",""DELIVERY_NOTE_REF"",""DELIVERY_DATE"",""SHIPTO_LOCATION_ID"",""BILLTO_LOCATION_ID"",""ADJUST_STOCK"" from AP_DBNOTE_HEADERS",614,ORATECHCANNON
