OBJECT_NAME,OBJECT_TYPE,LAST_DDL_TIME,DATASOURCE
SFM_HTMLCSS,FUNCTION,2021-02-20 08:54:56,ORATECHDATAHUB
SFN_ADDDATETIMETOFILENAME,FUNCTION,2021-02-20 08:55:02,ORATECHDATAHUB
SFN_ARGS,FUNCTION,2021-02-20 08:54:40,ORATECHDATAHUB
SFN_AUTOSEQ,FUNCTION,2021-02-20 08:55:02,ORATECHDATAHUB
SFN_BESTWORST,FUNCTION,2021-02-20 08:55:02,ORATECHDATAHUB
SFN_CHANGECASE,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_COLUMNVAL,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_CONCATIFNOTNULL,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_DECODEDELIMITER,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_DECRYPT,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_DIVIDE,FUNCTION,2021-02-20 08:54:40,ORATECHDATAHUB
SFN_DOUBLEQUOTE,FUNCTION,2021-02-20 08:54:59,ORATECHDATAHUB
SFN_ENCLOSE,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_ENCRYPT,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_FORMATDATE,FUNCTION,2021-02-20 08:55:01,ORATECHDATAHUB
SFN_FORMATPRICE,FUNCTION,2021-02-20 08:54:42,ORATECHDATAHUB
SFN_GETCATSUBCAT,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_ID,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_ITEMBARCODES,FUNCTION,2021-02-20 08:54:42,ORATECHDATAHUB
SFN_MAJENTOCAT,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_PAD,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_REMOVESPECIALCHARS,FUNCTION,2021-02-20 08:54:42,ORATECHDATAHUB
SFN_REMOVESPECIALCHARS1,FUNCTION,2021-02-20 08:54:44,ORATECHDATAHUB
SFN_REPEATCHAR,FUNCTION,2021-02-20 08:55:03,ORATECHDATAHUB
SFN_RETINITIALS,FUNCTION,2021-02-20 08:55:04,ORATECHDATAHUB
SFN_SP,FUNCTION,2021-02-20 08:55:04,ORATECHDATAHUB
