CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,SEARCH_CONDITION,REF_PK,DELETE_RULE,CORDERBY,CONS_COLS,REF_TABLE,REF_COLUMNS,DATASOURCE
IPBL_PK,PRIMARY KEY,INV_PRICE_BREAK_LINES,None,NOVALUE,NO ACTION,1,PRICE_BREAK_LINE_ID,None,None,ORATECHDATAHUB
IPT_PK,PRIMARY KEY,INV_PRICE_TYPES,None,NOVALUE,NO ACTION,1,PRICE_TYPE_ID,None,None,ORATECHDATAHUB
INVQKCODEHEADERS_PK,PRIMARY KEY,INV_QUICKCODE_HEADERS,None,NOVALUE,NO ACTION,1,QUICKCODE_ID,None,None,ORATECHDATAHUB
INVQKCODELINES_PK,PRIMARY KEY,INV_QUICKCODE_LINES,None,NOVALUE,NO ACTION,1,QUICKCODE_LINE_ID,None,None,ORATECHDATAHUB
INVREQUISITIONHEADERS_PK,PRIMARY KEY,INV_REQUISITION_HEADERS,None,NOVALUE,NO ACTION,1,REQUISITION_ID,None,None,ORATECHDATAHUB
INVREQUISITIONLINES_PK,PRIMARY KEY,INV_REQUISITION_LINES,None,NOVALUE,NO ACTION,1,REQUISITION_LINE_ID,None,None,ORATECHDATAHUB
INVSLNMTRANS_PK,PRIMARY KEY,INV_SERIALNUM_TRANSACTIONS,None,NOVALUE,NO ACTION,1,TRANSACTION_ID,None,None,ORATECHDATAHUB
INVSIMCATL_PK,PRIMARY KEY,INV_SIMILAR_CATEGORIES,None,NOVALUE,NO ACTION,1,SIMILAR_CATEGORY_ID,None,None,ORATECHDATAHUB
SIH_PK,PRIMARY KEY,INV_SIMILAR_ITEM_HEADERS,None,NOVALUE,NO ACTION,1,SIMILAR_ITEM_ID,None,None,ORATECHDATAHUB
INVSLOCASSIGNB_PK,PRIMARY KEY,INV_SLOCASSIGN_BATCHS,None,NOVALUE,NO ACTION,1,ASSIGNMENT_BATCH_ID,None,None,ORATECHDATAHUB
INVSLOCASSIGNHEADERS_PK,PRIMARY KEY,INV_SLOCASSIGN_HEADERS,None,NOVALUE,NO ACTION,1,ASSIGNMENT_ID,None,None,ORATECHDATAHUB
INVSLOCASSIGNLINES_PK,PRIMARY KEY,INV_SLOCASSIGN_LINES,None,NOVALUE,NO ACTION,1,ASSIGNMENT_LINE_ID,None,None,ORATECHDATAHUB
ISI_PK,PRIMARY KEY,INV_STKTAKE_ITEMS,None,NOVALUE,NO ACTION,1,STKTAKE_ITEM_ID,None,None,ORATECHDATAHUB
IST_PK,PRIMARY KEY,INV_STKTAKE_TYPES,None,NOVALUE,NO ACTION,1,STKTAKE_TYPE_ID,None,None,ORATECHDATAHUB
